kit_number,player_name,position,nationality,height,foot,joined,signed_from,contract,market_value,club_name,birth_date,age
48,Muhammad Arfan,Defensive Midfield,Indonesia,1.7,right,2017-12-01,PSM Makassar Youth,2026,3915.0,PSM Makassar,1998-01-22,25.0
71,Mufli Hidayat,Centre-Forward,Indonesia,1.72,right,2022-12-01,PSM Makassar Youth,-,870.0,PSM Makassar,2005-08-07,17.0
74,Edgard Amping,Left-Back,Indonesia,1.68,left,2022-01-01,PSM Makassar Youth,31-Dec-25,1305.0,PSM Makassar,2003-06-09,20.0
80,Wiljan Pluim,Attacking Midfield,Netherlands,1.94,right,2016-08-01,Becamex Binh Duong FC,31-Dec-25,5220.0,PSM Makassar,1989-01-04,34.0
1,Anthony Pinthus,Goalkeeper,Philippines,1.82,right,2023-07-01,Without Club,-,2610.0,PSS Sleman,1998-04-04,25.0
3,Muhammad Fariz,Right-Back,Indonesia,1.6,right,2022-07-01,PSS Sleman Youth,-,435.0,PSS Sleman,2004-09-02,18.0
4,Nurdiansyah,Centre-Back,Indonesia,1.76,left,2023-07-01,Borneo FC Samarinda,-,2175.0,PSS Sleman,1998-12-18,24.0
5,Thales,Centre-Back,Brazil,1.88,right,2023-07-01,Centro Sportivo Alagoano (AL),-,6090.0,PSS Sleman,1993-04-06,30.0
6,Jihad Ayoub,Defensive Midfield,Lebanon,1.87,right,2022-07-06,Al-Ansar FC,2024,4785.0,PSS Sleman,1995-03-30,28.0
7,Kei Sano,Left Winger,Japan,1.72,right,2023-07-01,Sirens FC,-,3915.0,PSS Sleman,1992-04-03,31.0
8,Esteban Vizcarra,Left Winger,Indonesia,1.75,both,2023-07-01,Madura United FC,-,870.0,PSS Sleman,1986-04-11,37.0
9,Saddam Gaffar,Centre-Forward,Indonesia,1.87,left,2019-08-29,PSS Sleman Youth,30-Apr-24,2610.0,PSS Sleman,2001-09-24,21.0
10,Yevgen Bokhashvili,Centre-Forward,Ukraine,1.85,both,2023-01-09,SC Otelul Galati,-,3045.0,PSS Sleman,1993-01-05,30.0
11,Ricky Cawor,Centre-Forward,Indonesia,1.65,right,2023-01-19,Persija Jakarta,-,2175.0,PSS Sleman,1998-01-26,25.0
12,Muhammad Ridwan,Goalkeeper,Indonesia,1.79,right,2022-04-23,Madura United FC,-,2610.0,PSS Sleman,1991-03-26,32.0
17,Riki Dwi Saputro,Centre-Forward,Indonesia,1.75,right,2022-04-15,Persekat Tegal,-,2175.0,PSS Sleman,1995-02-20,28.0
20,Haris Tuharea,Left Winger,Indonesia,1.72,right,2023-01-19,Madura United FC,-,1740.0,PSS Sleman,1994-11-22,28.0
21,Dimas Fani,Goalkeeper,Indonesia,1.75,right,2020-08-20,PSS Sleman Youth,31-Mar-23,435.0,PSS Sleman,2000-05-18,23.0
22,Ibrahim Sanjaya,Right-Back,Indonesia,1.78,right,2022-04-23,Persik Kediri,-,2175.0,PSS Sleman,1997-08-26,25.0
23,Kim Kurniawan,Central Midfield,Indonesia,1.68,both,2021-03-01,PERSIB Bandung,-,2610.0,PSS Sleman,1990-03-23,33.0
25,Derry Rachman,Left-Back,Indonesia,1.6,left,2019-01-27,PS Mojokerto Putra,-,2175.0,PSS Sleman,1994-12-15,28.0
27,Irkham Mila,Right Winger,Indonesia,1.68,right,2018-01-15,PERSIS Solo,-,2610.0,PSS Sleman,1998-05-02,25.0
30,Kevin Gomes,Left-Back,Indonesia,1.82,left,2023-01-20,PERSIS Solo,-,2175.0,PSS Sleman,1998-06-24,25.0
32,Jonathan Bustos,Attacking Midfield,Argentina,1.74,left,2023-07-01,Borneo FC Samarinda,-,6090.0,PSS Sleman,1994-06-29,29.0
33,Wahyudi Hamisi,Defensive Midfield,Indonesia,1.66,right,2023-07-01,Borneo FC Samarinda,-,1305.0,PSS Sleman,1997-07-28,25.0
38,Nyoman Ansanay,Right-Back,Indonesia,1.74,right,2023-07-01,Persewar Waropen,-,435.0,PSS Sleman,2001-07-08,21.0
46,Todd Ferre,Attacking Midfield,Indonesia,1.58,right,2022-05-11,Persipura Jayapura,-,3045.0,PSS Sleman,1999-03-15,24.0
78,Ifan Nanda,Centre-Back,Indonesia,1.81,right,2020-08-29,PSS Sleman Youth,30-Jun-24,1305.0,PSS Sleman,2001-03-29,22.0
80,Hokky Caraka,Centre-Forward,Indonesia,1.86,right,2022-05-10,PSS Sleman Youth,-,3480.0,PSS Sleman,2004-08-21,18.0
88,Leonard Tupamahu,Centre-Back,Indonesia,1.79,right,2023-07-01,Bali United FC,-,174.0,PSS Sleman,1983-07-09,39.0
92,Dave Mustaine,Central Midfield,Indonesia,1.8,right,2021-12-21,Arema FC,-,1740.0,PSS Sleman,1992-11-16,30.0
96,Abduh Lestaluhu,Left-Back,Indonesia,1.7,left,2023-07-01,PERSIS Solo,-,3480.0,PSS Sleman,1993-10-16,29.0
2,Muhammad Syukron,Centre-Back,Indonesia,1.83,right,2023-07-01,Persipa Pati,-,435.0,RANS Nusantara FC,1997-02-24,26.0
3,Ângelo,Centre-Back,Portugal,1.89,right,2023-07-01,SC Covilhã,-,3480.0,RANS Nusantara FC,1993-07-03,30.0
5,Dallen Doke,Right-Back,Indonesia,1.72,right,2023-07-01,PSM Makassar,-,1740.0,RANS Nusantara FC,1998-01-02,25.0
8,Antoni Nugroho,Right Winger,Indonesia,1.68,both,2023-07-01,Bhayangkara FC,-,2175.0,RANS Nusantara FC,1994-02-25,29.0
9,Kenshiro Daniels,Centre-Forward,Philippines,1.77,right,2023-07-01,Sukhothai FC,-,3480.0,RANS Nusantara FC,1995-01-13,28.0
13,Samsul Arifin,Left-Back,Indonesia,1.63,left,2023-07-01,Bhayangkara FC,-,1305.0,RANS Nusantara FC,1992-01-03,31.0
17,Paulo Sitanggang,Central Midfield,Indonesia,1.68,right,2023-07-01,Borneo FC Samarinda,-,2610.0,RANS Nusantara FC,1995-10-17,27.0
19,Rabbani Tasnim,Centre-Forward,Indonesia,1.85,right,2023-07-01,Borneo FC Samarinda,30-Jun-24,2175.0,RANS Nusantara FC,2003-05-26,20.0
20,Andi Irfan,Left Winger,Indonesia,1.61,right,2023-07-01,Sada Sumut FC,-,1740.0,RANS Nusantara FC,2001-05-25,22.0
22,Marckho Merauje,Right-Back,Indonesia,1.78,right,2023-07-01,PSS Sleman,-,2610.0,RANS Nusantara FC,1994-12-04,28.0
27,Meru Kimura,Centre-Back,Indonesia,1.87,left,2022-03-01,PSKC Cimahi,1-Mar-25,870.0,RANS Nusantara FC,2001-06-27,22.0
28,Arif Satria,Centre-Back,Indonesia,1.83,right,2022-04-22,Persebaya Surabaya,2024,3480.0,RANS Nusantara FC,1995-09-17,27.0
34,Try Hamdani,Goalkeeper,Indonesia,1.82,left,2023-07-01,PSS Sleman,-,1305.0,RANS Nusantara FC,1994-01-03,29.0
36,Ilhamsyah,Defensive Midfield,Indonesia,1.69,right,2023-07-01,Borneo FC Samarinda,-,870.0,RANS Nusantara FC,1999-07-02,24.0
45,Taufik Hidayat,Left-Back,Indonesia,1.67,right,2023-07-01,PSIS Semarang,-,2175.0,RANS Nusantara FC,1993-03-20,30.0
57,Fikri Ntong,Goalkeeper,Indonesia,1.8,right,2022-04-15,RANS Nusantara FC Youth,-,174.0,RANS Nusantara FC,2003-05-28,20.0
64,Wahyudi,Goalkeeper,Indonesia,1.8,right,2021-05-08,Badak Lampung FC,31-Mar-24,1305.0,RANS Nusantara FC,1998-08-24,24.0
66,Mitsuru Maruoka,Central Midfield,Japan,1.7,right,2022-07-10,Gimpo FC,2024,3480.0,RANS Nusantara FC,1996-01-06,27.0
78,Muhammad Irman,Centre-Forward,Indonesia,1.7,right,2023-07-01,PSCS Cilacap,-,870.0,RANS Nusantara FC,1999-05-21,24.0
88,Fadilla Akbar,Defensive Midfield,Indonesia,1.73,left,2021-04-14,Without Club,2024,2610.0,RANS Nusantara FC,2001-09-08,21.0
93,Erwin Ramdani,Left Winger,Indonesia,1.69,left,2023-07-01,PERSIB Bandung,-,2175.0,RANS Nusantara FC,1993-03-11,30.0
97,Hilmansyah,Goalkeeper,Indonesia,1.83,right,2022-04-20,PSM Makassar,2024,2610.0,RANS Nusantara FC,1997-05-25,26.0
99,KH Yudo,Left Winger,Indonesia,1.73,both,2023-07-01,Arema FC,-,2175.0,RANS Nusantara FC,1993-07-16,29.0
